SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BOLDAMGRE,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.65154000,90.40270000,14-01-2021 08:30,"","","","","",""
2,BOLDAMGRE,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.65154000,90.40270000,25-02-2021 08:30,"","","","","",""
3,BOLDAMGRE,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.65154000,90.40270000,31-03-2021 08:30,"","","","","",""
4,BOREWELL AT GOOD SHAPHARD PARISH IN LADRYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.37352500,92.32249300,22-04-2021 08:30,186,Clear,"",1.5,"",""
5,BOREWELL AT GOOD SHAPHARD PARISH IN LADRYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.37352500,92.32249300,28-10-2021 08:30,202,Clear,"",1.2,"",""
6,BOREWELL AT KHLIEHWAH SHASEM - A IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.35706300,92.36349800,22-04-2021 08:30,157,Clear,"",2.5,"",""
7,BOREWELL AT KHLIEHWAH SHASEM - A IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.35706300,92.36349800,28-10-2021 08:30,105,Clear,"",1.8,"",""
8,BOREWELL AT KHLIEHWAH SHASEM - B IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.35721800,92.36229700,22-04-2021 08:30,90,Clear,"",9.5,"",""
9,BOREWELL AT KHLIEHWAH SHASEM - B IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.35721800,92.36229700,28-10-2021 08:30,85,Clear,"","","",""
10,BUGI RIVER AT DALU,CPCB,17,Meghalaya,278,west Garo Hills,DALU,-,-,-,-,-,-,-,-,25.20846500,90.23069000,13-01-2021 08:30,"","","","","",""
11,BUGI RIVER AT DALU,CPCB,17,Meghalaya,278,west Garo Hills,DALU,-,-,-,-,-,-,-,-,25.20846500,90.23069000,19-02-2021 08:30,"","","","","",""
12,BUGI RIVER AT DALU,CPCB,17,Meghalaya,278,west Garo Hills,DALU,-,-,-,-,-,-,-,-,25.20846500,90.23069000,24-03-2021 08:30,"","","","","",""
13,BUGI RIVER AT MIBANPARA,CPCB,17,Meghalaya,277,South Garo Hills,CHOKPOT,-,-,-,-,-,-,-,-,25.33614800,90.33924700,13-01-2021 08:30,"","","","","",""
14,BUGI RIVER AT MIBANPARA,CPCB,17,Meghalaya,277,South Garo Hills,CHOKPOT,-,-,-,-,-,-,-,-,25.33614800,90.33924700,19-02-2021 08:30,"","","","","",""
15,BUGI RIVER AT MIBANPARA,CPCB,17,Meghalaya,277,South Garo Hills,CHOKPOT,-,-,-,-,-,-,-,-,25.33614800,90.33924700,24-03-2021 08:30,"","","","","",""
16,DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,CPCB,17,Meghalaya,273,East Garo Hills,RESUBELPARA,-,-,-,-,-,-,-,-,25.90420300,90.60625100,13-01-2021 08:30,"","","","","",""
17,DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,CPCB,17,Meghalaya,273,East Garo Hills,RESUBELPARA,-,-,-,-,-,-,-,-,25.90420300,90.60625100,19-02-2021 08:30,"","","","","",""
18,DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,CPCB,17,Meghalaya,273,East Garo Hills,RESUBELPARA,-,-,-,-,-,-,-,-,25.90420300,90.60625100,24-03-2021 08:30,"","","","","",""
19,DEEP TUBE WELL AT DONGKAMON NONGMENSONG SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.58718300,91.90877900,05-04-2021 08:30,97,Clear,"",1.5,"",""
20,DEEP TUBE WELL AT DONGKAMON NONGMENSONG SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.58718300,91.90877900,04-10-2021 08:30,87,Clear,"","","",""
21,DEEP TUBE WELL AT LABAN LAST STOP SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.55284600,91.86032600,05-04-2021 08:30,63,Clear,"","","",""
22,DEEP TUBE WELL AT LABAN LAST STOP SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.55284600,91.86032600,04-10-2021 08:30,59,Clear,"","","",""
23,DUG WELL AT FOREST COLONY POLO SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.58575900,91.88927400,05-04-2021 08:30,155,Clear,"",1.2,"",""
24,DUG WELL AT FOREST COLONY POLO SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.58575900,91.88927400,04-10-2021 08:30,138,Clear,"","","",""
25,GANOL RIVER TURA,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.54846700,90.17144700,13-01-2021 08:30,"","","","","",""
26,GANOL RIVER TURA,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.54846700,90.17144700,19-02-2021 08:30,"","","","","",""
27,GANOL RIVER TURA,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.54846700,90.17144700,22-03-2021 08:30,"","","","","",""
28,GAROBADHA,CPCB,17,Meghalaya,278,west Garo Hills,SELSELLA,-,-,-,-,-,-,-,-,25.58579300,90.02267600,14-01-2021 08:30,"","","","","",""
29,GAROBADHA,CPCB,17,Meghalaya,278,west Garo Hills,SELSELLA,-,-,-,-,-,-,-,-,25.58579300,90.02267600,25-02-2021 08:30,"","","","","",""
30,GAROBADHA,CPCB,17,Meghalaya,278,west Garo Hills,SELSELLA,-,-,-,-,-,-,-,-,25.58579300,90.02267600,31-03-2021 08:30,"","","","","",""
31,JAKREM HOT SPRING AT JAKREM,CPCB,17,Meghalaya,279,West Khasi Hills,MAWKYRWAT,-,-,-,-,-,-,-,-,25.40769100,91.54070100,22-04-2021 08:30,322,Clear,"",2.2,"",""
32,JAKREM HOT SPRING AT JAKREM,CPCB,17,Meghalaya,279,West Khasi Hills,MAWKYRWAT,-,-,-,-,-,-,-,-,25.40769100,91.54070100,28-10-2021 08:30,305,Clear,"",1.7,"",""
33,KALIPAI RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.32520000,92.31673000,12-01-2021 08:30,"","","","","",""
34,KALIPAI RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.32520000,92.31673000,11-02-2021 08:30,"","","","","",""
35,KALIPAI RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.32520000,92.31673000,16-03-2021 08:30,"","","","","",""
36,KMEUM RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.33435000,92.31437000,12-01-2021 08:30,"","","","","",""
37,KMEUM RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.33435000,92.31437000,11-02-2021 08:30,"","","","","",""
38,KMEUM RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.33435000,92.31437000,16-03-2021 08:30,"","","","","",""
39,KUPLI RIVER AT KHANDONG,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.52665000,92.62767000,12-01-2021 08:30,"","","","","",""
40,KUPLI RIVER AT KHANDONG,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.52665000,92.62767000,11-02-2021 08:30,"","","","","",""
41,KUPLI RIVER AT KHANDONG,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.52665000,92.62767000,16-03-2021 08:30,"","","","","",""
42,KUPLI RIVER AT LOOSKI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.50332000,92.59048000,12-01-2021 08:30,"","","","","",""
43,KUPLI RIVER AT LOOSKI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.50332000,92.59048000,11-02-2021 08:30,"","","","","",""
44,KUPLI RIVER AT LOOSKI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.50332000,92.59048000,16-03-2021 08:30,"","","","","",""
45,KWAI RIVER AT SUTNGA MAWPUN,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.38251000,92.45122000,12-01-2021 08:30,"","","","","",""
46,KWAI RIVER AT SUTNGA MAWPUN,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.38251000,92.45122000,11-02-2021 08:30,"","","","","",""
47,KWAI RIVER AT SUTNGA MAWPUN,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.38251000,92.45122000,16-03-2021 08:30,"","","","","",""
48,KYNSHI RIVER AT NANGKHNUM,CPCB,17,Meghalaya,279,West Khasi Hills,NONGSTOIN,-,-,-,-,-,-,-,-,25.47474200,91.26380500,07-01-2021 08:30,"","","","","",""
49,KYNSHI RIVER AT NANGKHNUM,CPCB,17,Meghalaya,279,West Khasi Hills,NONGSTOIN,-,-,-,-,-,-,-,-,25.47474200,91.26380500,05-02-2021 08:30,"","","","","",""
50,KYNSHI RIVER AT NANGKHNUM,CPCB,17,Meghalaya,279,West Khasi Hills,NONGSTOIN,-,-,-,-,-,-,-,-,25.47474200,91.26380500,09-03-2021 08:30,"","","","","",""
51,KYNSHI RIVER AT RANIKOR,CPCB,17,Meghalaya,279,West Khasi Hills,MAWSHYNRUT,-,-,-,-,-,-,-,-,25.22374800,91.24064900,07-01-2021 08:30,"","","","","",""
52,KYNSHI RIVER AT RANIKOR,CPCB,17,Meghalaya,279,West Khasi Hills,MAWSHYNRUT,-,-,-,-,-,-,-,-,25.22374800,91.24064900,05-02-2021 08:30,"","","","","",""
53,KYNSHI RIVER AT RANIKOR,CPCB,17,Meghalaya,279,West Khasi Hills,MAWSHYNRUT,-,-,-,-,-,-,-,-,25.22374800,91.24064900,09-03-2021 08:30,"","","","","",""
54,KYNSHI RIVER AT SOHIONG,CPCB,17,Meghalaya,274,East Khasi Hills,MAWPHLANG,-,-,-,-,-,-,-,-,25.49993500,91.70824300,07-01-2021 08:30,"","","","","",""
55,KYNSHI RIVER AT SOHIONG,CPCB,17,Meghalaya,274,East Khasi Hills,MAWPHLANG,-,-,-,-,-,-,-,-,25.49993500,91.70824300,05-02-2021 08:30,"","","","","",""
56,KYNSHI RIVER AT SOHIONG,CPCB,17,Meghalaya,274,East Khasi Hills,MAWPHLANG,-,-,-,-,-,-,-,-,25.49993500,91.70824300,09-03-2021 08:30,"","","","","",""
57,KYRHUKHLA NEAR SUTNGA KHLIERIAT JAINTIA HILLS,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.36739400,92.45020600,11-01-2021 08:30,"","","","","",""
58,KYRHUKHLA NEAR SUTNGA KHLIERIAT JAINTIA HILLS,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.36739400,92.45020600,10-02-2021 08:30,"","","","","",""
59,KYRHUKHLA NEAR SUTNGA KHLIERIAT JAINTIA HILLS,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.36739400,92.45020600,11-03-2021 08:30,"","","","","",""
60,LAITRYNGEW STREAM AT LAITRYNGEW,CPCB,17,Meghalaya,274,East Khasi Hills,SHELLA BHOLAGANJ,-,-,-,-,-,-,-,-,25.32401600,91.73181400,08-01-2021 08:30,"","","","","",""
61,LAITRYNGEW STREAM AT LAITRYNGEW,CPCB,17,Meghalaya,274,East Khasi Hills,SHELLA BHOLAGANJ,-,-,-,-,-,-,-,-,25.32401600,91.73181400,09-02-2021 08:30,"","","","","",""
62,LAITRYNGEW STREAM AT LAITRYNGEW,CPCB,17,Meghalaya,274,East Khasi Hills,SHELLA BHOLAGANJ,-,-,-,-,-,-,-,-,25.32401600,91.73181400,10-03-2021 08:30,"","","","","",""
63,LAMU RIVER AT LESHKA,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.26842400,92.19846900,13-01-2021 08:30,"","","","","",""
64,LAMU RIVER AT LESHKA,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.26842400,92.19846900,02-02-2021 08:30,"","","","","",""
65,LAMU RIVER AT LESHKA,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.26842400,92.19846900,18-03-2021 08:30,"","","","","",""
66,LUKHA RIVER AT KHADDUM,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.22435900,92.42235500,12-01-2021 08:30,"","","","","",""
67,LUKHA RIVER AT KHADDUM,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.22435900,92.42235500,11-02-2021 08:30,"","","","","",""
68,LUKHA RIVER AT KHADDUM,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.22435900,92.42235500,16-03-2021 08:30,"","","","","",""
69,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.29387800,92.39125300,11-01-2021 08:30,"","","","","",""
70,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.29387800,92.39125300,10-02-2021 08:30,"","","","","",""
71,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.29387800,92.39125300,11-03-2021 08:30,"","","","","",""
72,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.10863300,92.36144500,11-01-2021 08:30,"","","","","",""
73,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.10863300,92.36144500,10-02-2021 08:30,"","","","","",""
74,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.10863300,92.36144500,11-03-2021 08:30,"","","","","",""
75,LYNRIANG RIANG RIVER AT LESHKA,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.23431000,92.22689000,13-01-2021 08:30,"","","","","",""
76,LYNRIANG RIANG RIVER AT LESHKA,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.23431000,92.22689000,12-02-2021 08:30,"","","","","",""
77,LYNRIANG RIANG RIVER AT LESHKA,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.23431000,92.22689000,18-03-2021 08:30,"","","","","",""
